epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3282.07,0.95819,0.89144,1.29137,0.82794,0.8987,0.93337,0.71656,0.77744,0.69582,1.3297,0.000848969,0.000848969,0.000848969
43,3360.66,0.95053,0.87956,1.27825,0.79471,0.91083,0.88445,0.66701,0.79624,0.82525,1.33554,0.000834822,0.000834822,0.000834822
44,3438.63,0.94356,0.90851,1.2821,0.82502,0.93378,0.92264,0.70175,0.75566,0.63195,1.30842,0.000820675,0.000820675,0.000820675
45,3517.12,0.93936,0.8741,1.27737,0.78698,0.88035,0.90921,0.69157,0.80438,0.76605,1.34284,0.000806528,0.000806528,0.000806528
46,3598.15,0.94224,0.87725,1.27102,0.83231,0.91927,0.93315,0.73103,0.75576,0.61571,1.29721,0.00079238,0.00079238,0.00079238
47,3677.34,0.92906,0.86987,1.27215,0.82814,0.88125,0.93517,0.72036,0.76149,0.70406,1.30848,0.000778233,0.000778233,0.000778233
48,3756.18,0.93836,0.86353,1.2696,0.81734,0.90717,0.92636,0.7138,0.76854,0.7235,1.32908,0.000764086,0.000764086,0.000764086
49,3834.22,0.92827,0.85285,1.26328,0.85816,0.90565,0.93176,0.72831,0.75541,0.67688,1.30899,0.000749939,0.000749939,0.000749939
50,3912.63,0.90566,0.84799,1.24857,0.77208,0.86319,0.88795,0.67392,0.77537,0.81506,1.32911,0.000735792,0.000735792,0.000735792
51,3991.87,0.91534,0.84476,1.26535,0.83187,0.91981,0.93682,0.73015,0.74458,0.69476,1.29397,0.000721645,0.000721645,0.000721645
52,4070.56,0.90039,0.84039,1.25552,0.82455,0.90628,0.91982,0.71114,0.73841,0.63328,1.30236,0.000707498,0.000707498,0.000707498
53,4148.57,0.88683,0.82029,1.2467,0.86732,0.92932,0.93628,0.72641,0.75614,0.59313,1.32752,0.000693351,0.000693351,0.000693351
54,4225.97,0.8865,0.81678,1.24564,0.89902,0.89704,0.93007,0.74155,0.7366,0.55814,1.29545,0.000679204,0.000679204,0.000679204
55,4304.1,0.88815,0.80858,1.25019,0.76478,0.90195,0.881,0.67716,0.77316,0.82302,1.31757,0.000665057,0.000665057,0.000665057
56,4381.4,0.88774,0.81114,1.24153,0.81856,0.86613,0.90738,0.70204,0.7571,0.71531,1.3275,0.000650909,0.000650909,0.000650909
57,4457.45,0.88411,0.80858,1.24271,0.82282,0.90242,0.93059,0.734,0.7306,0.63751,1.28859,0.000636762,0.000636762,0.000636762
58,4534.14,0.87163,0.77854,1.22204,0.86706,0.91276,0.94965,0.7417,0.74705,0.58636,1.31056,0.000622615,0.000622615,0.000622615
59,4612,0.86603,0.77521,1.22719,0.85523,0.89881,0.95348,0.73707,0.74817,0.61333,1.30649,0.000608468,0.000608468,0.000608468
60,4688.4,0.88162,0.7929,1.23246,0.78061,0.89854,0.89405,0.69782,0.72694,0.73116,1.27371,0.000594321,0.000594321,0.000594321
61,4764.29,0.85281,0.77525,1.21887,0.87879,0.9009,0.94253,0.72625,0.74557,0.57223,1.30452,0.000580174,0.000580174,0.000580174
62,4842.91,0.85723,0.76902,1.22181,0.84134,0.88593,0.91026,0.70428,0.76014,0.70742,1.31705,0.000566027,0.000566027,0.000566027
63,4919.75,0.86636,0.77111,1.22576,0.85944,0.90119,0.92054,0.70398,0.73954,0.67042,1.29646,0.00055188,0.00055188,0.00055188
64,4996.48,0.83329,0.74425,1.20804,0.8048,0.89197,0.93108,0.722,0.73453,0.70735,1.29157,0.000537733,0.000537733,0.000537733
65,5073.37,0.82613,0.73646,1.20134,0.85029,0.88014,0.93579,0.72477,0.75771,0.66393,1.31206,0.000523586,0.000523586,0.000523586
66,5150.38,0.82949,0.74371,1.20204,0.79365,0.93024,0.90393,0.70771,0.72403,0.65519,1.28219,0.000509438,0.000509438,0.000509438
67,5227.59,0.82696,0.73251,1.20302,0.79315,0.90599,0.92358,0.72211,0.70156,0.7039,1.26277,0.000495291,0.000495291,0.000495291
68,5304.49,0.82537,0.72995,1.20007,0.87804,0.95005,0.95493,0.75973,0.71432,0.51279,1.27402,0.000481144,0.000481144,0.000481144
69,5382.31,0.80243,0.71332,1.19439,0.83173,0.88125,0.93226,0.72243,0.7322,0.67961,1.28856,0.000466997,0.000466997,0.000466997
70,5458.6,0.81819,0.71884,1.19884,0.86134,0.88454,0.93822,0.74352,0.70986,0.61599,1.2791,0.00045285,0.00045285,0.00045285
